"sem","class","finalexam","coursepct","attend","fe.letter","co.letter"
"Sum25","math 1190",86.33333,93.47023636,97.99303,"B","A"
"Sum25","math 1190",61.33333,77.30400606,94.96273,"D","C"
"Sum25","math 1190",98.66667,98.92430303,100,"A","A"
"Sum25","math 1190",68,81.20081818,89.50818,"D","B"
"Sum25","math 1190",85.33333,83.53079697,100,"B","B"
"Sum25","math 1190",78.66667,78.83312121,79.29955,"C","C"
"Sum25","math 1190",102,100,100,"A","A"
"Sum25","math 1190",67,76.7925,82,"D","C"
"Sum25","math 1190",73,76.35249091,82.93591,"C","C"
"Sum25","math 1190",54,64.91649091,82.93591,"F","D"
"Sum25","math 1190",64.66667,69.07010303,63.63636,"D","D"
"Sum25","math 1190",31.33333,45.62009697,46.36364,"F","F"
"Sum25","math 1190",90.33333,90.05114242,94.75409,"A","A"
"Sum25","math 1190",75.33333,81.72330606,57.27273,"C","B"
"Sum25","math 1190",73.66667,82.96293939,94.96273,"C","B"
"Sum25","math 1190",75.33333,78.61356061,80.41727,"C","C"
"Sum25","math 1190",97.33333,93.4137697,100,"A","A"
"Sum25","math 1190",0,20.21129091,52.93591,"F","F"
"Sum25","math 1190",85.33333,81.41605152,55.66318,"B","B"
"Sum25","math 1190",87.66667,94.47684849,100,"B","A"
"Sum25","math 1190",67.33333,64.90474697,64.05364,"D","D"
"Sum25","math 1190",100.6667,98.03774849,100,"A","A"
"Sum25","math 1190",50.66667,65.80917222,69.40056,"F","D"
"Sum25","math 1190",72.66667,80.36942121,95.45455,"C","B"
"Sum25","math 1190",68.33333,74.49019697,74.05364,"D","C"
"Sum25","math 1190",67.33333,76.61269697,84.05364,"D","C"
"Sum25","math 1190",20.66667,45.42064849,62.02682,"F","F"
"Sum25","math 1190",94.33333,97.06242424,100,"A","A"
"Sum25","math 1190",64.66667,77.88604849,65.87182,"D","C"
"Sum25","math 1190",60.66667,67.15486667,63.845,"D","D"
"Sum25","math 1190",91.66667,93.60084849,100,"A","A"
"Sum25","math 1190",97.33333,100,100,"A","A"
"Sum25","math 1190",63.66667,68.34912121,59.29955,"D","D"
"Sum25","math 1190",97.33333,99.91101515,100,"A","A"
"Sum25","math 1190",59.66667,64.62215758,76.78091,"F","D"
"Sum25","math 1190",69.33333,79.2936697,93.63636,"D","C"
"Sum25","math 1190",101.3333,100,100,"A","A"
"Fall25","math 2202",94,82.02026316,100,"A","B"
"Fall25","math 2202",90,84.49381579,100,"A","B"
"Fall25","math 2202",50,66.325,97,"F","D"
"Fall25","math 2202",71,78.87937281,81.33333333,"C","C"
"Fall25","math 2202",66,80.21359211,100,"D","B"
"Fall25","math 2202",97,92.20547368,99,"A","A"
"Fall25","math 2202",82,87.46921053,100,"B","B"
