sem,class,final,grade,letter,part
Sum25,math 1190,86.33333,93.47023636,NA,97.99303
Sum25,math 1190,61.33333,77.30400606,NA,94.96273
Sum25,math 1190,98.66667,98.92430303,NA,101.3264
Sum25,math 1190,68,81.20081818,NA,89.50818
Sum25,math 1190,85.33333,83.53079697,NA,100.2086
Sum25,math 1190,78.66667,78.83312121,NA,79.29955
Sum25,math 1190,102,100,NA,107.69
Sum25,math 1190,67,76.7925,NA,82
Sum25,math 1190,73,76.35249091,NA,82.93591
Sum25,math 1190,54,64.91649091,NA,82.93591
Sum25,math 1190,64.66667,69.07010303,NA,63.63636
Sum25,math 1190,31.33333,45.62009697,NA,46.36364
Sum25,math 1190,90.33333,90.05114242,NA,94.75409
Sum25,math 1190,75.33333,81.72330606,NA,57.27273
Sum25,math 1190,73.66667,82.96293939,NA,94.96273
Sum25,math 1190,75.33333,78.61356061,NA,80.41727
Sum25,math 1190,97.33333,93.4137697,NA,101.3264
Sum25,math 1190,0,20.21129091,NA,52.93591
Sum25,math 1190,85.33333,81.41605152,NA,55.66318
Sum25,math 1190,87.66667,94.47684849,NA,105.8718
Sum25,math 1190,67.33333,64.90474697,NA,64.05364
Sum25,math 1190,100.6667,98.03774849,NA,105.8718
Sum25,math 1190,50.66667,65.80917222,NA,69.40056
Sum25,math 1190,72.66667,80.36942121,NA,95.45455
Sum25,math 1190,68.33333,74.49019697,NA,74.05364
Sum25,math 1190,67.33333,76.61269697,NA,84.05364
Sum25,math 1190,20.66667,45.42064849,NA,62.02682
Sum25,math 1190,94.33333,97.06242424,NA,106.7809
Sum25,math 1190,64.66667,77.88604849,NA,65.87182
Sum25,math 1190,60.66667,67.15486667,NA,63.845
Sum25,math 1190,91.66667,93.60084849,NA,105.8718
Sum25,math 1190,97.33333,100,NA,107.69
Sum25,math 1190,63.66667,68.34912121,NA,59.29955
Sum25,math 1190,97.33333,99.91101515,NA,102.0268
Sum25,math 1190,59.66667,64.62215758,NA,76.78091
Sum25,math 1190,69.33333,79.2936697,NA,93.63636
Sum25,math 1190,101.3333,100,NA,107.69
Fall25,math 2202,94,82.02026316,NA,100
Fall25,math 2202,90,84.49381579,NA,100
Fall25,math 2202,50,66.325,NA,97
Fall25,math 2202,71,78.87937281,NA,81.33333333
Fall25,math 2202,66,80.21359211,NA,100
Fall25,math 2202,97,92.20547368,NA,99
Fall25,math 2202,82,87.46921053,NA,100
Fall25,math 2202,81,70.67125,NA,99
Fall25,math 2202,0,22.33947368,NA,65
Fall25,math 2202,81,89.99605263,NA,100
Fall25,math 2202,94,92.71201316,NA,100
Fall25,math 2202,47,57.59289474,NA,97
Fall25,math 2202,81,77.20305263,NA,100
Fall25,math 2202,99,89.25,NA,100
Fall25,math 2202,43,52.69763158,NA,70
Fall25,math 2202,90,88.4,NA,100
Fall25,math 2202,84,73.43658772,NA,97.66666667
Fall25,math 2202,78,72.64891667,NA,86.66666667
Fall25,math 2202,49,67.22218421,NA,97
Fall25,math 2202,102,85.65,NA,100
Fall25,math 2202,105,98.3,NA,100
Fall25,math 2202,0,31.40447368,NA,50
Fall25,math 2202,59,77.36394737,NA,100
Fall25,math 2202,105,100,NA,100
Fall25,math 2202,98,92.775,NA,100
Fall25,math 2202,99,90.99657895,NA,100
Fall25,math 2202,78,87.625,NA,100
Fall25,math 2202,72,77.90655702,NA,97.33333333
Fall25,math 2202,86,78.24657895,NA,100
Fall25,math 2202,70,68.57050439,NA,97.33333333
Fall25,math 2202,88,83.79184211,NA,94
Fall25,math 2202,63,60.92904386,NA,86.33333333
Fall25,math 2202,108,100,NA,100
Fall25,math 2202,56,57.0631579,NA,99
Fall25,math 2202,0,39.456,NA,83
Fall25,math 2202,81,82.38705263,NA,99
Fall25,math 2202,80,88.765,NA,99
Fall25,math 2202,92,92.92763158,NA,100
Fall25,math 2202,83,79.90177632,NA,95
Fall25,math 2202,108,90.90728947,NA,100
Fall25,math 2202,62,66.62947368,NA,92
Fall25,math 2202,85,75.86468421,NA,60
Fall25,math 2202,85,77.83428947,NA,100
Fall25,math 2202,80,82.9334386,NA,99.33333333
Fall25,math 2202,86,82.05,NA,93
Fall25,math 2202,66,54.68657895,NA,88
Fall25,math 2202,46,65.03385965,NA,99.33333333
Fall25,math 2202,76,82.88827632,NA,100
Fall25,math 2202,0,48.34605263,NA,92
Fall25,math 2202,0,34.3385,NA,72
Fall25,math 2202,87,88.54526316,NA,99
Fall25,math 2202,97,64.24578947,NA,98
Fall25,math 2202,82,70.10352632,NA,58
Fall25,math 2202,87,82.39375,NA,99
Fall25,math 2202,65,67.70552632,NA,100
Fall25,math 2202,101,94.525,NA,100
Fall25,math 2202,0,36.425,NA,77
Fall25,math 2202,61,72.82394737,NA,99
Fall25,math 2202,59,70.2946579,NA,86
Fall25,math 2202,92,85.20886842,NA,100
Fall25,math 2202,74,76.35928947,NA,84
Fall25,math 2202,94,88.1,NA,100
Fall25,math 2202,43,63.36598684,NA,90
Fall25,math 2202,34,53.15461842,NA,79
Fall25,math 2202,106,100,NA,100
Fall25,math 2202,47,65.53701316,NA,85
Fall25,math 2202,71,81.025,NA,99
Fall25,math 2202,84,83.89184211,NA,100
Fall25,math 2202,104,97.40842105,NA,100
Fall25,math 2202,78,72.32131579,NA,94
Fall25,math 2202,97,90.15,NA,100
Fall25,math 2202,51,58.25582895,NA,82
Fall25,math 2202,32,49.56144737,NA,83
Fall25,math 2202,61,70.56394737,NA,92
Fall25,math 2202,9,50.82814474,NA,85
Fall25,math 2202,66,67.57382895,NA,56
Fall25,math 2202,16,57.18447368,NA,89
Fall25,math 2202,87,88.87405263,NA,98
Fall25,math 2202,99,76.82394737,NA,81
Fall25,math 2202,84,86.825,NA,96
